country_code,year,powertrain,registrations
AL,2019,BEV,24.0
AL,2019,Diesel,33064.0
AL,2019,HEV,5883.0
AL,2019,Other,3733.0
AL,2020,BEV,239.0
AL,2020,Diesel,32953.0
AL,2020,HEV,5820.0
AL,2020,Other,133.0
AL,2020,PHEV,4563.0
AL,2021,BEV,262.0
AL,2021,Diesel,42914.0
AL,2021,HEV,9769.0
AL,2021,Other,131.0
AL,2022,BEV,624.0
AL,2022,Diesel,36523.0
AL,2022,HEV,9156.0
AL,2022,Other,58.0
AL,2023,BEV,1671.0
AL,2023,Diesel,47440.0
AL,2023,HEV,13059.0
AL,2023,Other,171.0
AT,2015,BEV,1677.0
AT,2015,Diesel,180510.0
AT,2015,HEV,125243.0
AT,2015,Other,0.0
AT,2015,PHEV,1101.0
AT,2016,BEV,3826.0
AT,2016,Diesel,189139.0
AT,2016,HEV,135230.0
AT,2016,Other,0.0
AT,2016,PHEV,1237.0
AT,2017,BEV,5433.0
AT,2017,Diesel,175590.0
AT,2017,HEV,170273.0
AT,2017,Other,0.0
AT,2017,PHEV,1721.0
AT,2018,BEV,6757.0
AT,2018,Diesel,141159.0
AT,2018,HEV,191293.0
AT,2018,Other,0.0
AT,2018,PHEV,2258.0
AT,2019,BEV,9242.0
AT,2019,Diesel,130468.0
AT,2019,HEV,191055.0
AT,2019,Other,0.0
AT,2019,PHEV,2156.0
AT,2020,BEV,15972.0
AT,2020,Diesel,99196.0
AT,2020,HEV,133797.0
AT,2020,Other,0.0
AT,2020,PHEV,7641.0
AT,2021,BEV,33366.0
AT,2021,Diesel,71808.0
AT,2021,HEV,133448.0
AT,2021,Other,0.0
AT,2021,PHEV,14626.0
AT,2022,BEV,34165.0
AT,2022,Diesel,61537.0
AT,2022,HEV,119425.0
AT,2022,Other,0.0
AT,2022,PHEV,13268.0
AT,2023,BEV,47621.0
AT,2023,Diesel,61187.0
AT,2023,HEV,127984.0
AT,2023,Other,0.0
AT,2023,PHEV,16956.0
BA,2015,BEV,1.0
BA,2015,Diesel,3835.0
BA,2015,HEV,1825.0
BA,2015,Other,0.0
BA,2015,PHEV,0.0
BA,2016,BEV,0.0
BA,2016,Diesel,4932.0
BA,2016,HEV,2379.0
BA,2016,Other,1.0
BA,2017,BEV,7.0
BA,2017,Diesel,5123.0
BA,2017,HEV,2905.0
BA,2017,Other,0.0
BA,2017,PHEV,0.0
BA,2018,BEV,3.0
BA,2018,Diesel,5028.0
BA,2018,HEV,3348.0
BA,2018,Other,1.0
BA,2019,BEV,13.0
BA,2019,Diesel,4685.0
BA,2019,HEV,3869.0
BA,2019,Other,1.0
BA,2019,PHEV,0.0
BA,2020,BEV,8.0
BA,2020,Diesel,3481.0
BA,2020,HEV,2959.0
BA,2020,Other,3.0
BA,2021,BEV,28.0
BA,2021,Diesel,3385.0
BA,2021,HEV,3745.0
BA,2021,Other,1.0
BA,2021,PHEV,0.0
BA,2022,BEV,33.0
BA,2022,Diesel,3058.0
BA,2022,HEV,4719.0
BA,2022,Other,1.0
BA,2023,BEV,135.0
BA,2023,Diesel,3136.0
BA,2023,HEV,5687.0
BA,2023,Other,1.0
BE,2015,BEV,1360.0
BE,2015,Diesel,305838.0
BE,2015,HEV,200792.0
BE,2015,Other,5.0
BE,2016,BEV,2061.0
BE,2016,Diesel,285653.0
BE,2016,HEV,257377.0
BE,2016,Other,4.0
BE,2017,BEV,2717.0
BE,2017,Diesel,259790.0
BE,2017,HEV,289318.0
BE,2017,Other,2.0
BE,2018,BEV,3763.0
BE,2018,Diesel,202272.0
BE,2018,HEV,348533.0
BE,2018,Other,1.0
BE,2019,BEV,8892.0
BE,2019,Diesel,179716.0
BE,2019,HEV,371741.0
BE,2019,Other,4.0
BE,2020,BEV,15044.0
BE,2020,Diesel,151970.0
BE,2020,HEV,283103.0
BE,2020,Other,3.0
BE,2021,BEV,22774.0
BE,2021,Diesel,103914.0
BE,2021,HEV,284336.0
BE,2021,Other,1.0
BE,2022,BEV,37760.0
BE,2022,Diesel,70559.0
BE,2022,HEV,279182.0
BE,2022,Other,0.0
BE,2023,BEV,93482.0
BE,2023,Diesel,50855.0
BE,2023,HEV,248013.0
BE,2023,Other,1.0
BE,2023,PHEV,100308.0
BG,2015,BEV,10.0
BG,2015,Other,116.0
BG,2016,BEV,11.0
BG,2016,Other,502.0
BG,2017,BEV,13.0
BG,2017,Other,465.0
BG,2018,BEV,145.0
BG,2019,BEV,188.0
BG,2019,Other,1769.0
BG,2020,BEV,277.0
BG,2021,BEV,550.0
BG,2022,BEV,1021.0
BG,2022,Diesel,5330.0
BG,2022,HEV,22055.0
BG,2022,Other,21.0
BG,2022,PHEV,141.0
BG,2023,BEV,1754.0
BG,2023,Diesel,6032.0
BG,2023,HEV,29306.0
BG,2023,Other,28.0
BG,2023,PHEV,355.0
CH,2015,BEV,3882.0
CH,2015,Diesel,132789.0
CH,2015,HEV,188458.0
CH,2015,Other,36.0
CH,2015,PHEV,5855.0
CH,2016,BEV,3525.0
CH,2016,Diesel,130457.0
CH,2016,HEV,186497.0
CH,2016,Other,7.0
CH,2016,PHEV,2820.0
CH,2017,BEV,4929.0
CH,2017,Diesel,118800.0
CH,2017,HEV,192172.0
CH,2017,Other,7.0
CH,2017,PHEV,3371.0
CH,2018,BEV,5349.0
CH,2018,Diesel,95612.0
CH,2018,HEV,199713.0
CH,2018,Other,4.0
CH,2018,PHEV,4030.0
CH,2019,BEV,13177.0
CH,2019,Diesel,88965.0
CH,2019,HEV,214291.0
CH,2019,Other,7.0
CH,2019,PHEV,4209.0
CH,2020,BEV,19753.0
CH,2020,Diesel,64475.0
CH,2020,HEV,151892.0
CH,2020,Other,3.0
CH,2020,PHEV,14293.0
CH,2021,BEV,32025.0
CH,2021,Diesel,51670.0
CH,2021,HEV,155298.0
CH,2021,Other,8.0
CH,2021,PHEV,21803.0
CH,2022,BEV,40518.0
CH,2022,Diesel,45069.0
CH,2022,HEV,144359.0
CH,2022,Other,4.0
CH,2022,PHEV,17813.0
CH,2023,BEV,52947.0
CH,2023,Diesel,44501.0
CH,2023,HEV,161715.0
CH,2023,Other,3.0
CH,2023,PHEV,17377.0
CY,2015,BEV,4.0
CY,2015,Diesel,4157.0
CY,2015,HEV,5917.0
CY,2015,Other,0.0
CY,2016,BEV,7.0
CY,2016,Diesel,5327.0
CY,2016,HEV,7134.0
CY,2016,Other,0.0
CY,2017,BEV,18.0
CY,2017,Diesel,5450.0
CY,2017,HEV,7650.0
CY,2017,Other,0.0
CY,2018,BEV,5.0
CY,2018,Diesel,5264.0
CY,2018,HEV,7857.0
CY,2018,Other,0.0
CY,2019,BEV,58.0
CY,2019,Diesel,4532.0
CY,2019,HEV,8011.0
CY,2019,Other,0.0
CY,2020,BEV,42.0
CY,2020,Diesel,3065.0
CY,2020,HEV,7130.0
CY,2020,Other,0.0
CY,2021,BEV,78.0
CY,2021,Diesel,1460.0
CY,2021,HEV,8987.0
CY,2021,Other,2.0
CY,2021,PHEV,84.0
CY,2022,BEV,401.0
CY,2022,Diesel,541.0
CY,2022,HEV,10402.0
CY,2022,Other,2.0
CY,2022,PHEV,231.0
CY,2023,BEV,788.0
CY,2023,Diesel,443.0
CY,2023,HEV,12895.0
CY,2023,Other,0.0
CY,2023,PHEV,511.0
CZ,2015,BEV,312.0
CZ,2016,BEV,210.0
CZ,2017,BEV,376.0
CZ,2018,BEV,731.0
CZ,2019,BEV,778.0
CZ,2020,BEV,3264.0
CZ,2021,BEV,3172.0
CZ,2021,Diesel,56933.0
CZ,2021,HEV,142560.0
CZ,2021,Other,0.0
CZ,2022,BEV,3786.0
CZ,2022,Diesel,46078.0
CZ,2022,HEV,120594.0
CZ,2022,Other,3991.0
CZ,2022,PHEV,3447.0
CZ,2023,BEV,6567.0
CZ,2023,Diesel,54687.0
CZ,2023,HEV,146582.0
CZ,2023,Other,3622.0
CZ,2023,PHEV,5251.0
DE,2015,BEV,12363.0
DE,2015,Diesel,1538451.0
DE,2015,Other,38554.0
DE,2016,BEV,11410.0
DE,2016,Diesel,1539596.0
DE,2016,Other,51053.0
DE,2017,BEV,25056.0
DE,2017,Diesel,1336195.0
DE,2017,HEV,2041725.0
DE,2017,Other,4425.0
DE,2017,PHEV,29435.0
DE,2018,BEV,36062.0
DE,2018,Diesel,1129025.0
DE,2018,HEV,2241515.0
DE,2018,Other,4691.0
DE,2018,PHEV,31422.0
DE,2019,BEV,63281.0
DE,2019,Diesel,1230267.0
DE,2019,HEV,2330792.0
DE,2019,Other,7373.0
DE,2019,PHEV,45246.0
DE,2020,BEV,194163.0
DE,2020,Diesel,949336.0
DE,2020,HEV,1689117.0
DE,2020,Other,6638.0
DE,2020,PHEV,200394.0
DE,2021,BEV,355961.0
DE,2021,Diesel,691261.0
DE,2021,HEV,1401720.0
DE,2021,Other,10186.0
DE,2021,PHEV,325437.0
DE,2022,BEV,470559.0
DE,2022,Diesel,642418.0
DE,2022,HEV,1328670.0
DE,2022,Other,15080.0
DE,2022,PHEV,362092.0
DE,2023,BEV,524219.0
DE,2023,Diesel,703839.0
DE,2023,HEV,1643235.0
DE,2023,Other,13257.0
DE,2023,PHEV,175723.0
DK,2015,BEV,1265.0
DK,2015,Diesel,64203.0
DK,2015,HEV,137698.0
DK,2015,Other,0.0
DK,2015,PHEV,406.0
DK,2016,BEV,1265.0
DK,2016,Diesel,80216.0
DK,2016,HEV,140371.0
DK,2016,Other,0.0
DK,2016,PHEV,572.0
DK,2017,BEV,691.0
DK,2017,Diesel,77493.0
DK,2017,HEV,142607.0
DK,2017,Other,0.0
DK,2017,PHEV,621.0
DK,2018,BEV,1544.0
DK,2018,Diesel,72475.0
DK,2018,HEV,141318.0
DK,2018,Other,0.0
DK,2018,PHEV,3126.0
DK,2019,BEV,5501.0
DK,2019,Diesel,60475.0
DK,2019,HEV,155863.0
DK,2019,Other,0.0
DK,2019,PHEV,3880.0
DK,2020,BEV,14218.0
DK,2020,Diesel,46295.0
DK,2020,HEV,121772.0
DK,2020,Other,0.0
DK,2020,PHEV,18235.0
DK,2021,BEV,24876.0
DK,2021,Diesel,26648.0
DK,2021,HEV,97292.0
DK,2021,Other,0.0
DK,2021,PHEV,40445.0
DK,2022,BEV,30799.0
DK,2022,Diesel,17441.0
DK,2022,HEV,81933.0
DK,2022,Other,0.0
DK,2022,PHEV,26443.0
DK,2023,BEV,62576.0
DK,2023,Diesel,15258.0
DK,2023,HEV,85449.0
DK,2023,Other,0.0
DK,2023,PHEV,17218.0
EE,2015,BEV,30.0
EE,2015,Diesel,6949.0
EE,2015,HEV,14069.0
EE,2015,Other,0.0
EE,2016,BEV,32.0
EE,2016,Diesel,6393.0
EE,2016,HEV,16593.0
EE,2016,Other,0.0
EE,2017,BEV,26.0
EE,2017,Diesel,6409.0
EE,2017,HEV,19178.0
EE,2017,Other,0.0
EE,2018,BEV,83.0
EE,2018,Diesel,6527.0
EE,2018,HEV,19759.0
EE,2018,Other,0.0
EE,2019,BEV,77.0
EE,2019,Diesel,6414.0
EE,2019,HEV,20744.0
EE,2019,Other,0.0
EE,2020,BEV,344.0
EE,2020,Diesel,5123.0
EE,2020,HEV,13424.0
EE,2020,Other,0.0
EE,2021,BEV,487.0
EE,2021,Diesel,5242.0
EE,2021,HEV,17166.0
EE,2021,Other,0.0
EE,2021,PHEV,240.0
EE,2022,BEV,693.0
EE,2022,Diesel,4256.0
EE,2022,HEV,15853.0
EE,2022,Other,0.0
EE,2022,PHEV,391.0
EE,2023,BEV,1448.0
EE,2023,Diesel,4114.0
EE,2023,HEV,18049.0
EE,2023,Other,0.0
EE,2023,PHEV,555.0
EL,2015,BEV,32.0
EL,2016,BEV,20.0
EL,2017,BEV,37.0
EL,2018,BEV,77.0
EL,2019,BEV,188.0
EL,2020,BEV,678.0
EL,2021,BEV,2174.0
EL,2021,Diesel,18717.0
EL,2021,HEV,77702.0
EL,2022,BEV,2826.0
EL,2022,Diesel,18602.0
EL,2022,HEV,81636.0
EL,2023,BEV,6377.0
EL,2023,Diesel,19785.0
EL,2023,HEV,97784.0
EL,2023,Other,0.0
EL,2023,PHEV,8836.0
ES,2015,BEV,2620.0
ES,2015,Diesel,658757.0
ES,2015,HEV,383870.0
ES,2015,Other,2336.0
ES,2015,PHEV,66.0
ES,2016,BEV,2085.0
ES,2016,Diesel,725997.0
ES,2016,HEV,496785.0
ES,2016,Other,904.0
ES,2016,PHEV,152.0
ES,2017,BEV,4038.0
ES,2017,Diesel,690660.0
ES,2017,HEV,635661.0
ES,2017,Other,1771.0
ES,2017,PHEV,517.0
ES,2018,BEV,6238.0
ES,2018,Diesel,573370.0
ES,2018,HEV,831111.0
ES,2018,Other,2900.0
ES,2018,PHEV,1915.0
ES,2019,BEV,10415.0
ES,2019,Diesel,455468.0
ES,2019,HEV,883921.0
ES,2019,Other,2287.0
ES,2019,PHEV,5588.0
ES,2020,BEV,18217.0
ES,2020,Diesel,332422.0
ES,2020,HEV,566348.0
ES,2020,Other,482.0
ES,2020,PHEV,22602.0
ES,2021,BEV,24400.0
ES,2021,Diesel,265643.0
ES,2021,HEV,610936.0
ES,2021,Other,260.0
ES,2021,PHEV,43096.0
ES,2022,BEV,31737.0
ES,2022,Diesel,205650.0
ES,2022,HEV,584880.0
ES,2022,Other,284.0
ES,2022,PHEV,48077.0
ES,2023,BEV,55388.0
ES,2023,Diesel,186368.0
ES,2023,HEV,694410.0
ES,2023,Other,459.0
ES,2023,PHEV,62780.0
FI,2015,BEV,243.0
FI,2015,Diesel,38844.0
FI,2015,HEV,69098.0
FI,2015,Other,0.0
FI,2015,PHEV,415.0
FI,2016,BEV,223.0
FI,2016,Diesel,39556.0
FI,2016,HEV,77937.0
FI,2016,Other,0.0
FI,2016,PHEV,1209.0
FI,2017,BEV,502.0
FI,2017,Diesel,36216.0
FI,2017,HEV,79036.0
FI,2017,Other,0.0
FI,2017,PHEV,2553.0
FI,2018,BEV,776.0
FI,2018,Diesel,29071.0
FI,2018,HEV,84924.0
FI,2018,Other,0.0
FI,2018,PHEV,4932.0
FI,2019,BEV,1897.0
FI,2019,Diesel,22022.0
FI,2019,HEV,83323.0
FI,2019,Other,0.0
FI,2019,PHEV,5967.0
FI,2020,BEV,4245.0
FI,2020,Diesel,14567.0
FI,2020,HEV,64323.0
FI,2020,Other,0.0
FI,2020,PHEV,13231.0
FI,2021,BEV,10153.0
FI,2021,Diesel,11252.0
FI,2021,HEV,58869.0
FI,2021,Other,0.0
FI,2021,PHEV,20144.0
FI,2022,BEV,14531.0
FI,2022,Diesel,7447.0
FI,2022,HEV,44955.0
FI,2022,Other,0.0
FI,2022,PHEV,16171.0
FI,2023,BEV,29537.0
FI,2023,Diesel,5277.0
FI,2023,HEV,35525.0
FI,2023,Other,0.0
FI,2023,PHEV,18087.0
FR,2015,BEV,17269.0
FR,2015,Diesel,1089403.0
FR,2015,HEV,790928.0
FR,2015,Other,46.0
FR,2015,PHEV,5677.0
FR,2016,BEV,21758.0
FR,2016,Diesel,1032695.0
FR,2016,HEV,925661.0
FR,2016,Other,130.0
FR,2016,PHEV,7479.0
FR,2017,BEV,25368.0
FR,2017,Diesel,1014418.0
FR,2017,HEV,1105885.0
FR,2017,Other,113.0
FR,2017,PHEV,12089.0
FR,2018,BEV,31687.0
FR,2018,Diesel,859623.0
FR,2018,HEV,1318215.0
FR,2018,Other,12.0
FR,2018,PHEV,14753.0
FR,2019,BEV,43564.0
FR,2019,Diesel,773411.0
FR,2019,HEV,1432322.0
FR,2019,Other,4.0
FR,2019,PHEV,18789.0
FR,2020,BEV,112499.0
FR,2020,Diesel,539142.0
FR,2020,HEV,976034.0
FR,2020,Other,2.0
FR,2020,PHEV,74961.0
FR,2021,BEV,165566.0
FR,2021,Diesel,399164.0
FR,2021,HEV,1000395.0
FR,2021,Other,1.0
FR,2021,PHEV,141242.0
FR,2022,BEV,207171.0
FR,2022,Diesel,273570.0
FR,2022,HEV,953416.0
FR,2022,Other,1.0
FR,2022,PHEV,127436.0
FR,2023,BEV,303590.0
FR,2023,Diesel,223258.0
FR,2023,HEV,1114874.0
FR,2023,Other,4.0
FR,2023,PHEV,162836.0
GE,2017,BEV,83.0
GE,2017,Diesel,680.0
GE,2017,HEV,1968.0
GE,2018,BEV,21.0
GE,2018,Diesel,1242.0
GE,2018,HEV,2168.0
GE,2018,Other,1.0
GE,2019,BEV,22.0
GE,2019,Diesel,994.0
GE,2019,HEV,1379.0
GE,2019,Other,1.0
GE,2020,BEV,22.0
GE,2020,Diesel,994.0
GE,2020,HEV,1379.0
GE,2020,Other,1.0
GE,2021,BEV,43.0
GE,2021,Diesel,1358.0
GE,2021,HEV,2149.0
GE,2021,Other,1.0
GE,2022,BEV,206.0
GE,2022,Diesel,1760.0
GE,2022,HEV,3453.0
GE,2023,BEV,245.0
GE,2023,Diesel,1514.0
GE,2023,HEV,4663.0
GE,2023,Other,0.0
HR,2015,BEV,80.0
HR,2015,Other,466.0
HR,2016,BEV,66.0
HR,2016,Other,503.0
HR,2017,BEV,55.0
HR,2017,Other,664.0
HR,2018,BEV,182.0
HR,2018,Other,1085.0
HR,2019,BEV,279.0
HR,2019,Other,1922.0
HR,2020,BEV,639.0
HR,2020,Other,1.0
HR,2021,BEV,1121.0
HR,2021,Diesel,8904.0
HR,2021,HEV,23426.0
HR,2021,Other,1.0
HR,2022,BEV,1062.0
HR,2022,Diesel,7788.0
HR,2022,HEV,25929.0
HR,2022,Other,1.0
HR,2022,PHEV,689.0
HR,2023,BEV,1125.0
HR,2023,Diesel,9219.0
HR,2023,HEV,31451.0
HR,2023,Other,1.0
HR,2023,PHEV,783.0
HU,2015,BEV,116.0
HU,2015,Diesel,32271.0
HU,2015,HEV,44879.0
HU,2015,Other,10.0
HU,2016,BEV,176.0
HU,2016,Diesel,34700.0
HU,2016,HEV,61765.0
HU,2016,Other,11.0
HU,2017,BEV,749.0
HU,2017,Diesel,37039.0
HU,2017,HEV,78475.0
HU,2017,Other,9.0
HU,2018,BEV,1300.0
HU,2018,Diesel,32655.0
HU,2018,HEV,102965.0
HU,2018,Other,0.0
HU,2019,BEV,1834.0
HU,2019,Diesel,32299.0
HU,2019,HEV,124984.0
HU,2019,Other,1.0
HU,2020,BEV,3047.0
HU,2020,Diesel,31606.0
HU,2020,HEV,94076.0
HU,2020,Other,1.0
HU,2020,PHEV,2996.0
HU,2021,BEV,4313.0
HU,2021,Diesel,27065.0
HU,2021,HEV,93712.0
HU,2021,Other,0.0
HU,2021,PHEV,4236.0
HU,2022,BEV,4707.0
HU,2022,Diesel,20567.0
HU,2022,HEV,86830.0
HU,2022,Other,2.0
HU,2022,PHEV,4876.0
HU,2023,BEV,5807.0
HU,2023,Diesel,19836.0
HU,2023,HEV,82843.0
HU,2023,Other,40.0
HU,2023,PHEV,5542.0
IE,2015,BEV,494.0
IE,2015,Diesel,92436.0
IE,2015,Other,1718.0
IE,2016,BEV,402.0
IE,2016,Diesel,105257.0
IE,2016,Other,2943.0
IE,2017,BEV,631.0
IE,2017,Diesel,87644.0
IE,2017,HEV,44978.0
IE,2017,PHEV,330.0
IE,2018,BEV,1252.0
IE,2018,Diesel,70743.0
IE,2018,HEV,55818.0
IE,2018,Other,0.0
IE,2018,PHEV,747.0
IE,2019,BEV,3665.0
IE,2019,Diesel,59884.0
IE,2019,HEV,61108.0
IE,2019,Other,1.0
IE,2019,PHEV,1451.0
IE,2020,BEV,4075.0
IE,2020,Diesel,41688.0
IE,2020,HEV,44668.0
IE,2020,PHEV,2516.0
IE,2021,BEV,9199.0
IE,2021,Diesel,40292.0
IE,2021,HEV,53359.0
IE,2021,Other,316.0
IE,2021,PHEV,7969.0
IE,2022,BEV,15872.0
IE,2022,Diesel,31336.0
IE,2022,HEV,53385.0
IE,2022,Other,725.0
IE,2022,PHEV,7835.0
IE,2023,BEV,23181.0
IE,2023,Diesel,32255.0
IE,2023,HEV,62361.0
IE,2023,Other,0.0
IE,2023,PHEV,10485.0
IS,2017,BEV,845.0
IS,2017,Diesel,11091.0
IS,2017,HEV,11595.0
IS,2017,PHEV,2184.0
IS,2018,BEV,784.0
IS,2018,Diesel,8219.0
IS,2018,HEV,9434.0
IS,2018,Other,1.0
IS,2018,PHEV,2868.0
IS,2019,BEV,1090.0
IS,2019,Diesel,4253.0
IS,2019,HEV,6481.0
IS,2019,PHEV,1959.0
IS,2020,BEV,2551.0
IS,2020,Diesel,2327.0
IS,2020,HEV,2551.0
IS,2020,PHEV,2360.0
IS,2021,BEV,4246.0
IS,2021,Diesel,2584.0
IS,2021,HEV,4713.0
IS,2021,PHEV,4897.0
IS,2022,BEV,5567.0
IS,2022,Diesel,3107.0
IS,2022,HEV,4972.0
IS,2022,PHEV,3752.0
IS,2023,BEV,8783.0
IS,2023,Diesel,3039.0
IS,2023,HEV,4602.0
IS,2023,PHEV,1755.0
IT,2015,BEV,1576.0
IT,2015,Diesel,887074.0
IT,2015,HEV,521450.0
IT,2015,Other,120817.0
IT,2016,BEV,1497.0
IT,2016,Diesel,1058886.0
IT,2016,HEV,643165.0
IT,2016,Other,101619.0
IT,2017,BEV,2109.0
IT,2017,Diesel,1130434.0
IT,2017,HEV,700072.0
